311,0
5,1
254,3
185,4
247,3
271,3
270,3
30,1
36,1
218,5
15,1
210,5
243,3
249,3
141,2
191,4
163,4
134,2
106,1
43,2
231,5
111,1
298,0
155,2
49,2
160,2
138,2
172,4
39,1
190,4
240,5
83,1
13,1
142,2
305,0
121,2
246,3
159,2
107,1
168,4
198,4
82,1
193,4
283,0
78,2
45,2
244,3
317,0
315,0
26,1
194,4
280,3
136,2
182,4
184,4
217,5
116,1
309,0
296,0
225,5
11,1
48,2
97,1
241,3
169,4
319,0
287,0
164,4
211,5
152,2
71,2
284,0
320,0
192,4
118,1
29,1
18,1
234,5
81,1
17,1
75,2
133,2
215,5
264,3
316,0
59,2
41,2
149,2
180,4
95,1
313,0
277,3
3,1
25,1
196,4
170,4
85,1
58,2
34,1
188,4
199,4
209,5
257,3
28,1
292,0
123,2
303,0
108,1
54,2
263,3
129,2
237,5
245,3
60,2
14,1
312,0
44,2
117,1
232,5
12,1
174,4
47,2
105,1
94,1
137,2
66,2
306,0
144,2
253,3
6,1
186,4
176,4
262,3
256,3
242,3
69,2
258,3
248,3
24,1
295,0
301,0
201,5
281,0
230,5
302,0
76,2
33,1
307,0
227,5
113,1
7,1
19,1
103,1
267,3
236,5
229,5
314,0
128,2
32,1
63,2
51,2
154,2
272,3
212,5
10,1
65,2
291,0
70,2
56,2
197,4
289,0
73,2
1,1
119,1
279,3
220,5
216,5
55,2
4,1
261,3
8,1
171,4
250,3
98,1
288,0
166,4
131,2
23,1
88,1
61,2
235,5
145,2
16,1
158,2
189,4
100,1
252,3
147,2
2,1
50,2
86,1
178,4
122,2
200,4
275,3
120,1
161,4
110,1
195,4
318,0
213,5
79,2
52,2
64,2
321, 1
322, 1
323, 1
324, 4
325, 4
326, 4
327, 4
328, 4
329, 2
330, 2
331, 0
332, 2
333, 2
334, 2
335, 0
336, 1
337, 1
338, 1
339, 1
340, 1
341, 1
342, 1
343, 1
344, 0
345, 2
346, 2
347, 2
348, 0
349, 2
350, 2
351, 2
352, 2
353, 2
354, 3
355, 3
356, 3
357, 3
358, 0
359, 0
360, 0
361, 4
362, 4
363, 4
364, 4
365, 4
366, 4
367, 1
368, 1
369, 1
370, 1
371, 1
372, 1
373, 1
374, 0
375, 3
376, 3
377, 3
378, 3
379, 3
380, 3
381, 3
382, 3
383, 2
384, 2
385, 2
386, 2
387, 1
388, 1
389, 1
390, 3
391, 3
392, 3
393, 3
394, 2
395, 2
396, 2
397, 2
398, 2
399, 1
400, 2
401, 2
402, 2
403, 2
404, 2
405, 2
406, 1
407, 1
408, 1
409, 1
410, 1
411, 1
412, 1
413, 1
414, 0
415, 0
416, 0
417, 0
418, 0
419, 0
420, 1
421, 1
422, 1
423, 1
424, 1
425, 1
426, 1
427, 1
428, 1
429, 2
430, 2
431, 2
432, 2
433, 2
434, 2
435, 2
436, 2
437, 2
438, 2
439, 1
440, 1
441, 1
442, 2
443, 2
444, 2
445, 2
446, 1
447, 1
448, 1
449, 1
450, 1
451, 2
452, 2
453, 2
454, 2
455, 2
456, 0
457, 0
458, 0
459, 0
460, 0
461, 0
462, 0
463, 0
464, 0
465, 0
466, 0
467, 0
468, 3
469, 3
470, 3
471, 3
472, 3
473, 3
474, 3
475, 3
476, 3
477, 3
478, 3
479, 3
480, 3
481, 3
482, 3
483, 3
484, 3
485, 4
486, 4
487, 4
488, 4
489, 4
490, 4
491, 4
492, 4
493, 4
494, 4
495, 4
496, 4
497, 4
498, 4
499, 4
500, 4
501, 4
502, 4
503, 4
504, 4
505, 4
506, 4
507, 4
508, 4
509, 4
510, 4
511, 4
512, 4
513, 4
514, 3
515, 3
516, 3
517, 3
518, 0
519, 0
520, 0
521, 0
522, 0
523, 5
524, 5
525, 5
526, 5
527, 5
528, 5
529, 5
530, 5
531, 5
532, 5
533, 5
534, 5
535, 5
536, 5
537, 5
538, 5
539, 5
540, 5
541, 5
542, 5
543, 5
544, 5
545, 5
546, 5
547, 5
548, 5
549, 5
550, 5
551, 5
552, 5
553, 5
554, 5
555, 5
556, 5
557, 5
558, 5
559, 5
560, 5
561, 5
562, 5
563, 3
564, 3
565, 3
566, 0
567, 0
568, 0
